#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   9200      3.31e+00    2.13e+00      7.97e-02    8.20e-02      1.34e-01    8.52e-02    6.0e-04
   9300      1.49e+00    1.71e+00      1.24e-01    1.24e-01      5.49e-02    6.48e-02    6.0e-04
   9400      2.03e+00    2.08e+00      4.62e-02    4.73e-02      8.25e-02    8.44e-02    6.0e-04
   9500      4.73e+00    7.99e-01      7.26e-02    6.47e-02      1.93e-01    2.97e-02    6.0e-04
   9600      1.17e+00    2.24e+00      1.04e-01    1.01e-01      4.23e-02    8.92e-02    6.0e-04
   9700      2.49e+00    2.93e+00      5.35e-02    5.22e-02      1.01e-01    1.19e-01    6.0e-04
   9800      2.36e+00    1.44e+00      1.58e-02    1.79e-02      9.65e-02    5.86e-02    6.0e-04
   9900      4.00e+00    6.14e+00      1.29e-01    1.41e-01      1.61e-01    2.49e-01    6.0e-04
  10000      3.65e+00    3.62e+00      2.97e-02    3.01e-02      1.92e-01    1.91e-01    3.6e-04
  10100      9.10e-01    1.05e+00      3.03e-02    2.91e-02      4.69e-02    5.47e-02    3.6e-04
  10200      1.31e+00    2.66e+00      4.02e-03    5.12e-03      6.91e-02    1.40e-01    3.6e-04
  10300      1.22e+00    1.06e+00      1.67e-02    1.70e-02      6.43e-02    5.56e-02    3.6e-04
  10400      8.02e-01    2.01e+00      6.82e-03    6.76e-03      4.23e-02    1.06e-01    3.6e-04
  10500      2.47e+00    1.44e+00      1.43e-02    1.32e-02      1.30e-01    7.59e-02    3.6e-04
  10600      1.92e+00    1.15e+00      1.39e-02    1.61e-02      1.01e-01    6.07e-02    3.6e-04
  10700      1.59e+00    1.73e+00      2.34e-03    1.73e-03      8.37e-02    9.14e-02    3.6e-04
  10800      2.32e+00    6.64e-01      7.80e-03    4.34e-03      1.22e-01    3.50e-02    3.6e-04
  10900      8.85e-01    1.45e+00      1.78e-03    1.82e-03      4.67e-02    7.62e-02    3.6e-04
  11000      1.19e+00    7.36e-01      8.76e-03    1.12e-02      6.27e-02    3.87e-02    3.6e-04
  11100      1.21e+00    1.71e+00      1.12e-02    9.76e-03      6.40e-02    9.01e-02    3.6e-04
